ID,row,Smiles,stan_active_prob,stan_pred
A1,0,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CC(CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)C4)=C3)=O,0.6132243871688843,1
A2,1,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,0.10698157548904419,0
A3,2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CCN(CC(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)CC4)=C3)=O,0.2050294578075409,0
A4,3,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,0.48917216062545776,0
A5,4,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CC4N(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,0.05506876856088638,0
A6,5,O=C(N(C1C(NC(CC1)=O)=O)C2=O)C(C2=CC=C3)=C3N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6,0.05820127949118614,0
A7,6,O=C(N1C2C(NC(CC2)=O)=O)C3=CC(N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=CC=C3C1=O,0.07118367403745651,0
A8,7,O=C(N1C2C(NC(CC2)=O)=O)C3=C(NC4CCN(CC5CCN(C6=CC=C(C(F)(F)F)C=C6)CC5)CC4)C=CC=C3C1=O,0.7530086636543274,1
A9,8,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC(F)=C(N4CC(CN5CCC(C6=CC=C(C(F)(F)F)C=C6)CC5)C4)C=C31)=O,0.5143111944198608,1
A10,9,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N(CC3)CCN3CC(CC4)CCN4C5=CC=C(F)C=C5,0.08328444510698318,0
