Uniprot,Target,n,pos,AUROC
P03372,ERalpha,258,71,0.276
Q92793,CBP,75,49,0.443
P51531,SMARCA2,61,31,0.601
O60885,BRD4,58,26,0.459
Q92918,MAP4K1,57,14,0.664
Q06187,BTK,55,48,0.661
P10275,AR,42,22,0.702
Q9H8M2,BRD9,28,15,0.415
Q9NWZ3,IRAK4,19,12,0.452
P00533,EGFR L858R/T790M/C797S,19,10,0.422
Q08881,ITK,19,14,0.429
P50750,CDK9,17,9,0.681
Q07889,SOS1,14,9,0.378
Q9BY41,HDAC8,14,6,0.438
